회사명,채용 제목,급여,경력,학력,근무형태,근무지역,마감일,등록일,D-day,회사로고,직무
에이치디에스㈜,에이치디에스(주) 기업부설연구소 소프트웨어 개발 팀장 채용,회사내규에 따름,경력,학력무관,주5일,서울 서초구,2025-04-19,2025-03-20,D-8,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,해외법인/글로벌 운영지원
㈜인텔렉투스,[인텔렉투스] 프론트엔드 개발자 채용 (경력 3년 이상),회사내규에 따름,경력3년,대졸(4년),주5일,서울 서초구,2025-04-19,2025-03-20,D-8,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
㈜인텔렉투스,[인텔렉투스] 백엔드 개발자 채용 (경력 3년 이상),회사내규에 따름,경력3년,대졸(4년),주5일,서울 서초구,2025-04-19,2025-03-20,D-8,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
에이피엠컴퍼니,[APM COMPANY] 신입/경력 상시 채용,회사내규에 따름,경력무관,학력무관,주5일,서울 강남구,2025-04-19,2025-03-20,D-8,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
주식회사 쇼엠,[(주)쇼엠] 파이썬 개발자 사원 채용,"연봉 2,600 만원 이상",경력무관,학력무관,주5일,인천광역시 연수구 갯벌로,2025-05-18,2025-03-19,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 뉴솔트,웹개발 담당자 모집,"연봉 2,800 만원 이상",경력무관,학력무관,주5일,서울특별시 은평구 응암로12길,2025-05-18,2025-03-19,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹 개발자
(주)흐름코퍼레이션,[웹마스터] 웹프로그래머,"연봉 3,200 만원 이상",경력2년,학력무관,주5일,경상남도 창원시 의창구,2025-05-18,2025-03-19,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사 대성종합시스템,(주)교원/웹 어드민개발/restful api 개발/ 개발자 경력직...,월급 400 만원 ~ 800 만원,경력3년,학력무관,주5일,서울 중구,2025-04-18,2025-03-19,D-7,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
주식회사디지탈테크,"[신입/경력] SMT제조업, MES C# 개발자 채용",월급 250 만원 ~ 300 만원,경력5년,학력무관,주5일,광주광역시 북구 첨단벤처로28번길,2025-04-18,2025-03-19,D-7,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 모노래이테크,응용소프트웨어 신입 경력자구함,월급 240 만원 이상,경력무관,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,서울특별시 구로구 디지털로27길,2025-05-18,2025-03-19,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사 쓰리디오토메이션,[3월 26일 현장면접 참여기업] ROS개발자 채용,"연봉 3,000 만원 이상",경력무관,대졸(4년),주5일,대구광역시 북구 호암로,2025-04-30,2025-03-19,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타 개발자
주식회사 에코놀로지 (EKONOLOGY),AI 헬스케어 스타트업 핵심 개발자 채용,"연봉 4,000 만원 이상",경력7년,학력무관,주5일,경기도 화성시 동탄역로,2025-05-17,2025-03-19,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 인텔렉투스,[인텔렉투스] 백엔드 개발자 전문연구요원 채용,회사내규에 따름,신입/경력,석사,,서울 서초구,2025-04-30,2025-03-19,D-19,https://www.work24.go.kr/wk/static/images/logo/rndJob.png,웹/앱 개발자
주식회사 인텔렉투스,[인텔렉투스] 프론트엔드 개발자 전문연구요원 채용,회사내규에 따름,신입/경력,석사,,서울 서초구,2025-04-30,2025-03-19,D-19,https://www.work24.go.kr/wk/static/images/logo/rndJob.png,웹/앱 개발자
에이치엠케이홀딩스㈜,2025년 상반기 HMK홀딩스그룹 각 부문별 핵심인재 공개채용,회사내규에 따름,경력3년,학력무관,,서울 강남구,등록일 : 2025-03-19,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
에듀캔버스,웹 플랫폼 유지보수 및 개발 담당자 채용,"연봉 3,000 만원 ~ 4,300 만원",경력,대졸(4년),주5일,경기 성남시 수정구 등,등록일 : 2025-03-19,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,프로그램 운영/AA
펜타시큐리티㈜,사내 시스템 개발자(풀스택) 채용,회사내규에 따름,경력3년,학력무관,주5일,서울 영등포구,2025-05-18,2025-03-19,D-37,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
주식회사 캠스텍,시스템 및 서버 백엔드 개발자 모집,"연봉 4,000 만원 ~ 4,000 만원",경력3년,학력무관,주5일,경기도 수원시 팔달구,2025-05-17,2025-03-18,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
주식회사 알펜시아,알펜시아리조트 전산실(IT) 정규직원 모집,"연봉 3,000 만원 ~ 4,780 만원",경력무관,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,강원특별자치도 평창군 대관령면,2025-05-17,2025-03-18,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,시스템 운영
㈜이젠아카데미,이젠아카데미 백엔드/프론트엔드/풀스텍/개발자 강사 채용,월급 700 만원 ~ 800 만원,경력1년,대졸(2~3년),주5일,서울 서초구  등,등록일 : 2025-03-18,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
제이디컨설팅㈜,[중구/국내중견그룹사/연3740만수준]-IT혁신팀 사무보조 채용,회사내규에 따름,경력1년,고졸,주5일,서울 중구  등,2025-04-17,2025-03-18,D-6,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜사이냅소프트,[2025년 신입·경력] 솔루션 사업본부 채용,회사내규에 따름,신입/경력,학력무관,주5일,서울 강서구  등,2025-04-17,2025-03-18,D-6,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
스피츠홀딩스,프론트엔드 개발자 경력직 모집 [스피츠AI],"연봉 4,000 만원 ~ 4,000 만원",경력4년,학력무관,주5일,서울 종로구,2025-04-17,2025-03-18,D-6,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
㈜티맥스소프트,[TmaxSoft] 연구본부 IF개발 2팀  모집,회사내규에 따름,신입/경력,대졸(4년),주5일,경기 성남시 분당구 등,2025-05-17,2025-03-18,D-36,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
신라에이치엠㈜,[신라스테이]  본사(HQ) 재무팀 / 전산 / 재무팀 구매파트 인...,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 중구,2025-04-17,2025-03-18,D-6,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
그린데이소프트,"JAVA, Python 개발자 채용 공고","연봉 3,000 만원 ~ 5,000 만원",경력1년,학력무관,주5일,강원특별자치도 원주시 입춘로,2025-05-15,2025-03-17,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사 엘앤디시스템,"웹프로그래머(JAVA, React)","연봉 3,000 만원 이상",경력무관,학력무관,주5일,서울특별시 영등포구 문래동3가,2025-05-13,2025-03-17,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹 개발자
유에스소프트(USSOFT),웹.앱 백엔드 개발자 경력 모집합니다.,"연봉 3,000 만원 ~ 4,000 만원",경력1년,학력무관,주5일,울산광역시 남구 옥현로,2025-04-11,2025-03-17,오늘마감,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
㈜리로소프트,PHP 개발자 / AI 개발자 경력직 채용,회사내규에 따름,경력5년,학력무관,주5일,서울 구로구  등,2025-04-16,2025-03-17,D-5,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,AI개발자
㈜웨이투텍,임베디드 응용소프트웨어 개발자 채용 공고,회사내규에 따름,신입/경력,대졸(4년),주5일,경기 성남시 분당구 등,등록일 : 2025-03-17,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
노츠㈜,자동차 전장 S/W(AVN) 테스트 엔지니어 경력 모집,회사내규에 따름,경력1년,대졸(2~3년),주5일,경기 성남시 수정구 등,2025-04-16,2025-03-17,D-5,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,엔지니어
위쉬정보기술㈜,정자역 현대 구매시스템 개발 C# 윈폼,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-16,2025-03-17,D-5,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)포지텍,[일자리매칭플랫폼] (주)포지텍 솔루션 개발자 모집 (웹/앱 개발자...,회사내규에 따름,경력2년,학력무관,,서울 서초구,2025-05-16,2025-03-17,D-35,https://www.work24.go.kr/wk/static/images/logo/kosme.png,웹/앱 개발자
㈜경포씨엔씨,[경포씨엔씨]금융권 프레임워크 구축 및 유지보수 (정규직),회사내규에 따름,경력8년,대졸(4년),주5일,서울 성동구,2025-04-16,2025-03-17,D-5,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,프로그램 운영/AA
주식회사 배움의모든것,이미지 처리 AI개발자,월급 210 만원 ~ 300 만원,경력무관,학력무관,주5일,경기도 구리시 갈매중앙로,2025-05-13,2025-03-14,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,AI개발자
스타프리마㈜,"[한전KDN-나주혁신] ADMS 플랫폼 응용SW(C, C++) 유지...",회사내규에 따름,경력6년,대졸(2~3년),주5일,전남 나주시,2025-04-25,2025-03-14,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
(주)에코파워텍,신재생에너지 연구개발 및 기획사원 모집 [ESS/BEMS/태양광],월급 250 만원 이상,경력무관,학력무관,주5일,제주특별자치도 제주시 번영로,2025-04-11,2025-03-14,오늘마감,https://www.work24.go.kr/wk/static/images/logo/work24.png,기획/PM
주식회사 이투지,신재생에너지 연구개발 및 기획사원 모집 [ESS/BEMS/태양광],월급 310 만원 이상,경력무관,학력무관,주5일,제주특별자치도 제주시 첨단로8길,2025-04-11,2025-03-14,오늘마감,https://www.work24.go.kr/wk/static/images/logo/work24.png,기획/PM
주식회사 디엑스솔루션,광양 포스코 응용소프트웨어개발자(프로그래머) 및 S/W운영자 모집,"연봉 3,000 만원 ~ 5,500 만원",경력2년,학력무관,주5일,전라남도 광양시 폭포사랑길,2025-04-30,2025-03-14,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
(주)아이티엔제이,[제1회 일자리매칭데이 서류접수대행 기업] 웹개발/C#개발자 채용,"연봉 4,000 만원 이상",경력3년,학력무관,주5일,울산광역시 남구 왕생로,2025-05-13,2025-03-14,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타 개발자
(주)에너시스,(주)에너시스 기업부설연구소 프로그래머 신규 채용 공고,"연봉 2,520 만원 ~ 2,800 만원",신입,"대졸(4년)
														 ~ 박사",주5일,경기도 화성시 동탄기흥로,2025-04-12,2025-03-14,D-1,https://www.work24.go.kr/wk/static/images/logo/work24.png,해외법인/글로벌 운영지원
(주)에너시스,(주)에너시스 기업부설연구소 프로그래머 (계측장비) 경력자 모집 공...,"연봉 3,500 만원 ~ 4,500 만원",경력3년,"대졸(4년)
														 ~ 박사",주5일,경기도 화성시 동탄기흥로,2025-04-12,2025-03-14,D-1,https://www.work24.go.kr/wk/static/images/logo/work24.png,해외법인/글로벌 운영지원
다이나비스타 주식회사,[다이나비스타] 임베디드 소프트웨어 개발 (C-ITS 장비 개발),"연봉 3,500 만원 ~ 5,400 만원",경력무관,대졸(4년),주5일,경기도 용인시 기흥구,2025-05-12,2025-03-14,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,임베디드 개발자
㈜씨앤피에스,2025년 CNPS 웹 개발자 / KLPGA 공식 기록수집 운영팀 ...,회사내규에 따름,신입/경력,대졸(2~3년),,서울 서초구  등,등록일 : 2025-03-14,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
통로이미지㈜,[클립아트코리아] 에디터팀 프론트엔드 웹개발자 채용 (Next.js...,회사내규에 따름,경력5년,대졸(4년),주5일,서울 중구,2025-04-30,2025-03-14,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
주식회사 이지바로,[프론트앤드/백앤드] 미래를 함께 만들어갈 개발자 모집,"연봉 3,000 만원 이상",경력3년,학력무관,주5일,서울특별시 구로구 디지털로,2025-04-30,2025-03-14,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
페스카로,임베디드 SW 개발자 채용 (경력 8년 이상),회사내규에 따름,경력8년,대졸(4년),주5일,경기 수원시 영통구 등,2025-05-13,2025-03-14,D-32,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
위쉬정보기술㈜,여의도 우리증권 react 개발자 모집,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-13,2025-03-14,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜케이씨이앤씨,[케이씨이앤씨]기술전략센터 연구개발팀 경력 모집,회사내규에 따름,경력,대졸(2~3년),주5일,경기 안성시,2025-04-20,2025-03-14,D-9,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
재경가구산업㈜,[JAKOMO] 시스템 관리부 채용 공고 (경력 3년 이상),회사내규에 따름,경력3년,고졸,주5일,서울 송파구  등,2025-04-13,2025-03-14,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
잉그리스(주),"[일자리매칭플랫폼] 프레임 워크 활용한 Web, Java 개발자 채...",회사내규에 따름,경력5년,대졸(4년),,서울 구로구,2025-05-13,2025-03-14,D-32,https://www.work24.go.kr/wk/static/images/logo/kosme.png,개발자
㈜GNA,2025 상반기 지엔에이 채용공고,회사내규에 따름,신입/경력,학력무관,주5일,인천 남동구  등,2025-04-13,2025-03-14,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
위쉬정보기술㈜,판교 한국타이어 java 개발자 모집,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-13,2025-03-14,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
허브디티㈜,"하이닉스 이천 MES개발 중급,고급 개발자 모집(경험자우대)",회사내규에 따름,경력3년,대졸(4년),주5일,경기 이천시,2025-04-13,2025-03-14,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
㈜유비온,라이선스 컨설턴트 / 기획자 / UI/UX디자이너 채용,회사내규에 따름,경력1년,학력무관,,서울 구로구  등,2025-04-13,2025-03-14,D-2,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기획/PM
(주)비아트론,장비제어 소프트웨어 개발자 채용,"연봉 3,200 만원 ~ 3,200 만원",경력3년,"대졸(2~3년)
														 ~ 대졸(4년)",주5일,경기도 수원시 권선구,2025-05-12,2025-03-13,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
"주식회사 혜성테크윈(Hyesung Techwin Co. ,Ltd)",통신장비 연구개발(H/W 분석 및 설계 등) 및 조달우수제품 수행 ...,"연봉 4,000 만원 이상",경력3년,학력무관,주5일,경기도 성남시 중원구,2025-04-12,2025-03-13,D-1,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
㈜비전파트너스,전력그룹사 정보시스템 운영자 모집,회사내규에 따름,경력1년,대졸(2~3년),주5일,전남 나주시,2025-05-12,2025-03-13,D-31,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영자
㈜엘로이랩,[서울/AI 초분광 솔루션] AI 연구소 병역특례 전문연구요원 채용,회사내규에 따름,경력무관,석사,주5일,서울 구로구,2025-04-12,2025-03-13,D-1,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,해외법인/글로벌 운영지원
㈜엘로이랩,[서울/AI 초분광 솔루션] AI 연구소 채용 공고(신입/경력),회사내규에 따름,신입/경력,석사,주5일,서울 구로구,2025-04-12,2025-03-13,D-1,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,해외법인/글로벌 운영지원
㈜비알팜,개발/홍보/마케팅/웹관리자/온라인 MD/ 기업 부설 연구소/해외 인...,회사내규에 따름,경력3년,고졸,,강원 원주시  등,2025-04-16,2025-03-12,D-5,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,해외법인/글로벌 운영지원
㈜비알팜,생산관리/생산부/제조생산/구매/QA/공무/웹 관리자 신입/경력 채용,회사내규에 따름,신입/경력,학력무관,,강원 원주시,2025-04-16,2025-03-12,D-5,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
세영정보통신(주),펌웨어 경력직 개발자 공고,"연봉 5,000 만원 ~ 5,000 만원",경력3년,학력무관,주5일,경상북도 구미시 산호대로,2025-05-11,2025-03-12,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
선진이알에스,스마트 안전장비 시스템 담당하실 연구개발 인재를 찾습니다.,월급 250 만원 ~ 300 만원,신입,학력무관,주5일,부산광역시 강서구 과학산단1로60번길,2025-05-10,2025-03-12,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사한길에이치씨,백엔드 개발 및 인프라 관리 정규직 직원 채용,"연봉 3,000 만원 ~ 5,000 만원",경력무관,학력무관,주5일,경기도 안산시 단원구,2025-05-11,2025-03-12,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,웹/앱 개발자
㈜위즈코리아,25년도 상반기 직무별 신입/경력 정기채용,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 강서구  등,2025-05-11,2025-03-12,D-30,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
위쉬정보기술㈜,보라매공원 KT 이커머스 개발 java react,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-11,2025-03-12,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹 개발자
㈜위펀,[위펀] 프론트엔드 개발자 (Frontend/React),회사내규에 따름,경력5년,학력무관,주5일,서울 강남구  등,등록일 : 2025-03-12,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
㈜위펀,[위펀] 백엔드 개발 엔지니어 (backend),회사내규에 따름,경력5년,학력무관,주5일,서울 강남구  등,등록일 : 2025-03-12,,채용시까지,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
콘센트릭스서비스코리아(유),[Catalyst] SAP CC(Hybris) 기반 BA/개발자,회사내규에 따름,경력3년,학력무관,주5일,서울 강남구,2025-04-30,2025-03-12,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
(주)에잇바이트,[(주)에잇바이트] Java 또는 Embeded Linux C 개발...,회사내규에 따름,경력3년,학력무관,,서울 강남구,2025-05-11,2025-03-12,D-30,https://www.work24.go.kr/wk/static/images/logo/kosme.png,웹 개발자
㈜씨엠엔피,[경력] DB 개발자 - Oracle (카카오모빌리티 자회사),"연봉 5,000 만원 ~ 8,000 만원",경력5년,대졸(2~3년),주5일,경기 성남시 분당구 등,2025-04-11,2025-03-12,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
위쉬정보기술㈜,여의도 현대차증권 출납 운영 c pro-c,회사내규에 따름,경력무관,학력무관,주5일,서울 구로구,2025-04-11,2025-03-12,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
㈜씨씨미디어서비스,[신입/경력] Java/Web개발자 채용,회사내규에 따름,신입/경력,대졸(2~3년),주5일,서울 구로구,2025-04-11,2025-03-12,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타 개발자
㈜누리미디어,[개발운영] 백엔드 개발자 (경력),회사내규에 따름,경력7년,대졸(4년),,서울 마포구,2025-05-11,2025-03-12,D-30,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
㈜누리미디어,[개발운영] 백엔드 개발자 (병역특례 전문연구요원),회사내규에 따름,경력무관,학력무관,,서울 마포구,2025-05-11,2025-03-12,D-30,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
잉글리시헌트,JAVA 백엔드개발 (경력),회사내규에 따름,경력3년,학력무관,주5일,서울 송파구,2025-04-11,2025-03-12,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
한국이콜랩(유),[외국계 화학] 각 부문 신입/경력 채용,회사내규에 따름,신입/경력,고졸,,서울 송파구  등,2025-04-11,2025-03-12,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
영성미디어㈜,"웹기획, 웹서비스 기획,웹개발",회사내규에 따름,경력5년,대졸(2~3년),주5일,경기 고양시 일산동구 등,2025-05-11,2025-03-12,D-30,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹 개발자
㈜세인인포테크,2025년 각분야 상반기 경력직 채용,회사내규에 따름,경력3년,대졸(4년),주5일,서울 강남구  등,2025-04-11,2025-03-12,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사컴퓨터메이트,프로그램 개발자 모집(장애인만 지원바람),"연봉 3,220 만원 이상",경력무관,학력무관,주5일,대구광역시 수성구 알파시티1로35길,2025-05-09,2025-03-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
주식회사자이트솔루션,증권 시장시스템 응용프로그램 운영 개발자 모집,"연봉 5,000 만원 ~ 7,000 만원",경력7년,학력무관,주5일,서울특별시 영등포구 여의나루로,2025-05-06,2025-03-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
아이디자인닷컴,웹프로그래머,"연봉 3,600 만원 ~ 4,500 만원",경력3년,학력무관,주5일,부산광역시 동구 고관로,2025-04-30,2025-03-11,D-19,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
(주)일경홀딩스,Unity 및 AI를 활용한 프로젝트 개발자 모집,"연봉 3,000 만원 ~ 4,000 만원",경력무관,학력무관,주5일,서울특별시 구로구 디지털로,2025-05-10,2025-03-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
미르넷솔루션 주식회사,소프트웨어 개발,"연봉 4,000 만원 이상",경력4년,학력무관,주5일,서울특별시 구로구 디지털로34길,2025-05-09,2025-03-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
가오콘,Automotive 개발 엔지니어 모집,"연봉 5,000 만원 이상",경력10년,"대졸(4년)
														 ~ 박사",주5일,서울특별시 강서구 마곡서로,2025-05-09,2025-03-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,엔지니어
㈜엠플라인,[코드모바일/보안] 정보보호 담당자 채용,회사내규에 따름,경력,대졸(2~3년),주5일,서울 성동구  등,2025-05-10,2025-03-11,D-29,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,보안담당자
㈜이빗,[EBIT] AI Trainer(Data Labeler) - 개발자...,"시급 30,000 원 ~ 30,000 원",경력무관,학력무관,주5일,서울 강남구,2025-04-11,2025-03-11,오늘마감,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,개발자
페스카로,차량 사이버보안 위협 분석 및 테스트-RED팀 (신입/경력 무관),회사내규에 따름,경력무관,대졸(4년),주5일,경기 수원시 영통구 등,2025-05-10,2025-03-11,D-29,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,보안담당자
케이에이씨공항서비스(주),KAC공항서비스 김포공항 통신 시설 기간제 채용,월급 230 만원 ~ 250 만원,경력무관,학력무관,주5일,서울특별시 강서구 하늘길,2025-04-27,2025-03-10,D-16,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
주식회사 모드니케어,AWS Personalize 가능 개발자 모집,"연봉 3,000 만원 ~ 4,000 만원",경력7년,학력무관,주5일,경기도 성남시 분당구,2025-05-06,2025-03-10,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
솔탑,2025년 부문별 신입/경력사원 모집,회사내규에 따름,신입/경력,학력무관,,대전 대덕구  등,2025-05-10,2025-03-10,D-29,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
주식회사온품,[2025 대한민국 채용박람회 오프라인 참여 기업]- [온품]  A...,"연봉 5,000 만원 ~ 6,000 만원",경력3년,"대졸(4년)
														 ~ 석사",주5일,서울특별시 영등포구 당산로49길,2025-05-09,2025-03-10,D-28,https://www.work24.go.kr/wk/static/images/logo/work24.png,기타
